flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level,expected_friction_level,label_mismatch,route,seed,run_id
landing_navigation,normal_landing,desktop,fast,1,0,1.061,1,0,0,0,0,0,0,0,93,93,62,91,67,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_75_1782664479037_18zp45_75,landing_good_desktop_fast_75_1782664479037_18zp45
landing_navigation,normal_landing,desktop,fast,1,0,1.13,1,0,0,0,0,0,0,0,120,120,87,77,53,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_76_1782664480211_pp1nvq_76,landing_good_desktop_fast_76_1782664480211_pp1nvq
landing_navigation,normal_landing,desktop,fast,1,0,0.988,1,0,0,0,0,0,0,0,46,46,36,76,46,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_77_1782664481455_it15he_77,landing_good_desktop_fast_77_1782664481455_it15he
landing_navigation,normal_landing,desktop,fast,1,0,1.104,1,0,0,0,0,0,0,0,106,106,73,94,69,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_78_1782664482557_58d35j_78,landing_good_desktop_fast_78_1782664482557_58d35j
landing_navigation,normal_landing,desktop,fast,1,0,1.059,1,0,0,0,0,0,0,0,72,71,61,98,73,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_79_1782664483782_zcdmcc_79,landing_good_desktop_fast_79_1782664483782_zcdmcc
landing_navigation,normal_landing,desktop,fast,1,0,1.116,1,0,0,0,0,0,0,0,90,89,80,98,74,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_80_1782664484959_jwqqy6_80,landing_good_desktop_fast_80_1782664484959_jwqqy6
landing_navigation,normal_landing,desktop,fast,1,0,1.02,1,0,0,0,0,0,0,0,68,67,58,70,43,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_81_1782664486187_dwl7qo_81,landing_good_desktop_fast_81_1782664486187_dwl7qo
landing_navigation,normal_landing,desktop,fast,1,0,0.97,1,0,0,0,0,0,0,0,80,80,70,98,72,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_82_1782664487323_wbfvn5_82,landing_good_desktop_fast_82_1782664487323_wbfvn5
landing_navigation,normal_landing,desktop,fast,1,0,0.994,1,0,0,0,0,0,0,0,102,102,92,95,71,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_83_1782664488404_kj6lau_83,landing_good_desktop_fast_83_1782664488404_kj6lau
landing_navigation,normal_landing,desktop,fast,1,0,0.982,1,0,0,0,0,0,0,0,102,102,71,70,46,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_84_1782664489510_m998eg_84,landing_good_desktop_fast_84_1782664489510_m998eg
landing_navigation,normal_landing,desktop,fast,1,0,1.049,1,0,0,0,0,0,0,0,80,80,70,98,73,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_85_1782664490609_6f27kp_85,landing_good_desktop_fast_85_1782664490609_6f27kp
landing_navigation,normal_landing,desktop,fast,1,0,1.121,1,0,0,0,0,0,0,0,86,85,76,93,69,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_86_1782664491771_i6zygw_86,landing_good_desktop_fast_86_1782664491771_i6zygw
landing_navigation,normal_landing,desktop,fast,1,0,0.959,1,0,0,0,0,0,0,0,77,77,67,94,70,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_87_1782664493009_f8u67a_87,landing_good_desktop_fast_87_1782664493009_f8u67a
landing_navigation,normal_landing,desktop,fast,1,0,0.981,1,0,0,0,0,0,0,0,66,65,56,111,85,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_88_1782664494103_pl8sof_88,landing_good_desktop_fast_88_1782664494103_pl8sof
