flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level
landing_navigation,normal_landing,desktop,fast,1,0,0.931,1,0,0,0,0,0,0,0,81,81,45,95,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.012,1,0,0,0,0,0,0,0,73,73,62,97,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.104,1,0,0,0,0,0,0,0,96,96,85,101,76,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.987,1,0,0,0,0,0,0,0,81,81,72,87,63,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.922,1,0,0,0,0,0,0,0,67,66,56,88,63,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.124,1,0,0,0,0,0,0,0,84,84,74,99,74,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.941,1,0,0,0,0,0,0,0,70,69,59,89,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.086,1,0,0,0,0,0,0,0,46,46,36,96,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.926,1,0,0,0,0,0,0,0,48,48,37,99,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.931,1,0,0,0,0,0,0,0,38,37,27,90,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.12,1,0,0,0,0,0,0,0,83,83,73,91,67,0,0,-1,0,0,0,0,Low
